nconst,character,start,end
nm2945443,Teacher,71000,132000
nm0629762,Sheriff Ed Flanagan,78000,132000
nm1102278,Homelander,79000,132000
nm0064769,Secretary of Defense Robert A. Singer,132000,236000
nm3735340,Jody,135000,236000
nm4707628,Victoria Neuman,136000,236000
nm0732309,Grace Mallory,138000,236000
nm1416900,Becca Butcher,243000,267000
nm0193639,Donna January,267000,320000
nm3929195,Starlight,267000,320000
nm3929195,Starlight,320000,402000
nm4425051,Hughie Campbell,322000,402000
nm6150071,Frenchie,325000,402000
nm0022306,Mother's Milk,326000,402000
nm0881631,Billy Butcher,330000,402000
nm7232332,Kimiko Miyashiro,343000,402000
nm1102278,Homelander,405000,493000
nm2251731,Stormfront,405000,493000
nm3929195,Starlight,496000,574000
nm4425051,Hughie Campbell,496000,574000
nm3929195,Starlight,575000,739000
nm4425051,Hughie Campbell,575000,739000
nm1069800,Queen Maeve,580000,739000
nm0881631,Billy Butcher,739000,761000
nm6150071,Frenchie,739000,761000
nm3997201,Michel,741000,761000
nm1416900,Becca Butcher,747000,761000
nm0002064,Stan Edgar,764000,870000
nm0899681,Alastair Adana,764000,870000
nm1900772,A-Train,861000,870000
nm1416900,Becca Butcher,871000,963000
nm6150071,Frenchie,871000,963000
nm7232332,Kimiko Miyashiro,871000,963000
nm0022306,Mother's Milk,879000,963000
nm0881631,Billy Butcher,912000,963000
nm0002064,Stan Edgar,964000,976000
nm2555508,Samantha,966000,976000
nm1102278,Homelander,976000,1057000
nm2251731,Stormfront,976000,1057000
nm2281371,Ashley Barrett,977000,1057000
nm7805172,Ryan Butcher,978000,1057000
nm1995518,Planet Vought Waiter,1066000,1151000
nm1102278,Homelander,1073000,1151000
nm2251731,Stormfront,1073000,1151000
nm7805172,Ryan Butcher,1073000,1151000
nm3929195,Starlight,1151000,1257000
nm4425051,Hughie Campbell,1151000,1257000
nm1900772,A-Train,1257000,1316000
nm3929195,Starlight,1257000,1316000
nm4425051,Hughie Campbell,1257000,1316000
nm0881631,Billy Butcher,1316000,1540000
nm0002064,Stan Edgar,1329000,1540000
nm1102278,Homelander,1540000,1739000
nm2251731,Stormfront,1542000,1739000
nm7805172,Ryan Butcher,1570000,1739000
nm1416900,Becca Butcher,1739000,1938000
nm0881631,Billy Butcher,1741000,1938000
nm4425051,Hughie Campbell,1747000,1938000
nm0022306,Mother's Milk,1765000,1938000
nm3929195,Starlight,1765000,1938000
nm6150071,Frenchie,1765000,1938000
nm7232332,Kimiko Miyashiro,1765000,1938000
nm7232332,Kimiko Miyashiro,1938000,2005000
nm6150071,Frenchie,1945000,2005000
nm1102278,Homelander,2005000,2090000
nm7805172,Ryan Butcher,2005000,2090000
nm2251731,Stormfront,2013000,2090000
nm6150071,Frenchie,2090000,2189000
nm7232332,Kimiko Miyashiro,2092000,2189000
nm0881631,Billy Butcher,2122000,2189000
nm0022306,Mother's Milk,2126000,2189000
nm3929195,Starlight,2126000,2189000
nm4425051,Hughie Campbell,2126000,2189000
nm2251731,Stormfront,2134000,2189000
nm1069800,Queen Maeve,2140000,2189000
nm1416900,Becca Butcher,2177000,2189000
nm1102278,Homelander,2190000,2544000
nm7805172,Ryan Butcher,2190000,2544000
nm0022306,Mother's Milk,2213000,2544000
nm0881631,Billy Butcher,2214000,2544000
nm1416900,Becca Butcher,2214000,2544000
nm6150071,Frenchie,2215000,2544000
nm7232332,Kimiko Miyashiro,2215000,2544000
nm2251731,Stormfront,2477000,2544000
nm3929195,Starlight,2544000,2724000
nm4425051,Hughie Campbell,2544000,2724000
nm2251731,Stormfront,2545000,2724000
nm7232332,Kimiko Miyashiro,2550000,2724000
nm6150071,Frenchie,2558000,2724000
nm0022306,Mother's Milk,2628000,2724000
nm1069800,Queen Maeve,2656000,2724000
nm1102278,Homelander,2724000,3190000
nm0881631,Billy Butcher,2741000,3190000
nm1416900,Becca Butcher,2741000,3190000
nm7805172,Ryan Butcher,2741000,3190000
nm2251731,Stormfront,2746000,3190000
nm1069800,Queen Maeve,3088000,3190000
nm0002064,Stan Edgar,3190000,3267000
nm1069800,Queen Maeve,3192000,3267000
nm1102278,Homelander,3192000,3267000
nm3929195,Starlight,3197000,3267000
nm2281371,Ashley Barrett,3204000,3267000
nm1900772,A-Train,3267000,3399000
nm2003700,The Deep,3267000,3399000
nm0899681,Alastair Adana,3270000,3399000
nm3929195,Starlight,3399000,3530000
nm4425051,Hughie Campbell,3399000,3530000
nm0881631,Billy Butcher,3530000,3694000
nm7805172,Ryan Butcher,3530000,3694000
nm0732309,Grace Mallory,3591000,3694000
nm0022306,Mother's Milk,3694000,3781000
nm11194853,Janine,3704000,3781000
nm7232332,Kimiko Miyashiro,3717000,3781000
nm6150071,Frenchie,3720000,3781000
nm1102278,Homelander,3751000,3781000
nm0899681,Alastair Adana,3781000,3855000
nm4707628,Victoria Neuman,3787000,3855000
nm4707628,Victoria Neuman,3856000,3923000
nm5408297,Assistant,3859000,3923000
nm4425051,Hughie Campbell,3866000,3923000
