nconst,character
nm8488639,Benjy
nm4240263,Jamie
nm1069800,Queen Maeve
nm0651456,Desperate Thief #1
nm1102278,Homelander
nm6970024,Female News Anchor
nm4425051,Hughie Campbell
nm0609150,Gary
nm3678876,Robin
nm1900772,A-Train
nm3929195,Starlight
nm0670408,Hugh Campbell
nm0000223,Madelyn Stillwell
nm2281371,Ashley Barrett
nm3901596,Doug Friedman
nm0193639,Donna January
nm2003700,The Deep
nm1307435,Translucent
nm1756121,Black Noir
nm4981734,Clerk
nm0266422,Jimmy Fallon
nm0881631,Billy Butcher
nm4666051,Security Guard
nm2130844,Tiny Hero
nm6288116,Tiny Hero's Female Friend
nm0072648,Ezekiel
nm7068138,Big Game
nm0637992,Mayor of Baltimore
nm4007618,X-Ray Tech
nm5092703,Mason
nm7343952,Cherie
nm6150071,Frenchie
nm0265994,Colby's Dad
nm5102131,Colby
nm0948580,Colby's Dr.
nm0877304,Trevor
nm2002239,ESPN Interviewer
nm5973363,Shockwave
nm9339903,Commercial Son
nm6844613,Commercial Mom
nm4415642,Anika
nm0261170,Susan Raynor
nm0028625,Senator Calhoun
nm3398072,Female Bartender
nm10104439,Second Frat Boy
nm4538459,Frat Boy
nm5044034,Sorority Girl
nm1854087,Doppelganger
nm0057217,Seth Reed
nm2671505,Isadora
nm0998489,Evan Lambert
nm0022306,Mother’s Milk
nm7928115,Deeaygo
nm9656790,Oslo
nm0020329,Popclaw
nm2063213,Aleksy Lutz
nm6325955,Cop
nm1395410,S.W.A.T Captain
nm1828818,Nathan
nm1219099,Vought News Host
nm6736759,Girl
nm7325131,Heckling Fan
nm7836038,Heckling Fan's Friend
nm1416900,Becca Butcher
nm0007664,Filipino Guy
nm7232332,The Female
nm0005120,Dr. Damien Hodgman
nm0035334,Mamasan Matron
nm9481962,Heavy Terrorist
nm2631436,Tall Terrorist
nm9125441,Clean Cut Terrorist
nm0677310,Sweet Mom
nm7811049,Cute Little Girl
nm3823884,Flight Attendant
nm5784413,Cockpit Terrorist
nm6575546,Passenger #4
nm1569513,Street Cop
nm4468899,Cop
nm7747190,A-Train Fan
nm1845550,Reporter
nm7609013,Supe Gospel Singer
nm6922083,Believe Attendee
nm1868511,Pastor John
nm8968714,Curious Girl
nm10858730,Shy Boy
nm9684220,Older Girl
nm0369241,Pastor
nm2694584,Rachel
nm0000708,Billy Zane
nm3194791,Emotional Donor
nm1997152,Elena
nm2970187,Hair Stylist
nm10858875,Male News Anchor
nm0865626,Courtenay
nm2366996,Reality Editor
nm6932113,Teen Girl On the Street
nm9139453,Anthony
nm4455452,Field Producer
nm2599365,Sheila
nm0451039,Lydia Parker
nm0736622,Seth Rogen
nm10492805,Young Mesmer
nm0005286,Mesmer
nm0005346,Tara Reid
nm10858865,Guy
nm4763657,Photographer
nm9162660,Jersey Girl
nm6914631,Cleo
nm0715250,Tina
nm0231283,Jonah Vogelbaum
nm10858866,The Female's Brother (7)
nm10113394,Young The Female
nm8632185,The Female's Brother (17)
nm2854706,Female from the Car
nm0067289,Jeff
nm7596733,Monique
nm9351811,Janine
nm3784038,Molly
nm0732309,Grace Mallory
nm2649618,Seafood Guy
nm3127378,Operations Agent
nm10858907,Naqib
nm0064769,Secretary of Defense Robert A. Singer
nm0177684,Security Guard
nm7486145,Excited Teen
nm8968713,Excited Teen's Friend
nm0002064,Stan Edgar
nm7426827,Officer
nm10859043,8 Year Old Boy
nm4877882,Naqib
nm10800302,Rafiq
nm10503336,Syrian Boy
nm11831982,Maverick
nm8443632,VNN Interviewer
nm5316223,Eagle the Archer
nm1561803,Fake Stillwell
nm4484458,Fake Butcher
nm1938954,Chris Hansen
nm2436618,Blindspot
nm3664430,Gecko
nm1400028,Ted
nm3730354,Jill the Executive
nm3790450,Margaret
nm2588460,Deanna
nm0372961,Carol
nm2251731,Stormfront
nm4707628,Victoria Neuman
nm1341875,Hostess
nm7805172,Ryan
nm8829871,Minister
nm0652663,Gills
nm10651052,Entertainment Reporter
nm3086344,Reporter
nm0804670,Reporter
nm8621079,Guard
nm0391738,Dr. Park
nm0510499,Kenji Miyashiro
nm0126260,Adam Bourke
nm1942245,Self
nm0625664,Maeve's Dad
nm1051091,Daniel Prestia
nm5400943,Leanne Franklin
nm0019972,Vought Executive
nm4496720,Vought Executive
nm0321047,Randall Skilton
nm0660357,Veronica Barassi
nm7428203,Olive
nm2068715,Cassandra
nm6596476,Elizabeth
nm1172764,Self
nm0507097,Valerie
nm8672061,Myron
nm8712537,Gianna
nm4145450,Ruby
nm5318612,Super Villain
nm0342399,Agent Bill Pearson
nm0640669,Self
nm0341289,Lois
nm11844260,Judy Atkinson
nm0183698,Katie Couric
nm1464987,Vladislav
nm3833201,Victor
nm0899681,Alastair Adana
nm7661798,Soldier
nm0039162,Nurse
nm9689239,Production Assistant
nm5216674,Jay
nm2724431,Perp
nm0501999,Christopher Lennertz
nm1382520,Security Guard
nm10832523,Tim
nm9321976,Cindy
nm10663114,EMP Dude Patient
nm0337020,Dennis
nm3825890,Tommy Peterson
nm1032698,Kuldeep Singh
nm4937798,Lisa Concilia
nm0630149,Connie Butcher
nm0633604,Sam Butcher
nm2626729,Sonia
nm2945443,Teacher
nm0629762,Sheriff Ed Flanagan
nm3735340,Jody
nm3997201,Michel
nm2555508,Samantha
nm1995518,Planet Vought Waiter
nm11194853,Janine
nm5408297,Assistant
nm6345766,Reporter
nm2830921,Random dude
nm9386229,Peter
nm10445529,Cool Girl
nm5213022,Termite
nm3998232,Ivy
nm8722705,Simon
nm3115672,Security Guard
nm3588591,Armed Soldier
nm0249378,Cameron Coleman
nm2204675,Monique
nm4941776,Todd
nm13709685,Moonshadow
nm2740432,Supersonic
nm9465479,Silver Kincaid
nm2828257,Drummer Boy
nm5691930,Livewire
nm3859763,Cassandra (movie version)
nm5385972,Teen
nm1108188,Choreographer
nm8305739,Stage Manager
nm0010075,Soldier Boy
nm0390229,Crimson Countess
nm2062703,Also Ashley
nm0145009,Vanessa
nm2320740,Teacher
nm13711233,Teddy
nm13711234,Teddy
nm12595343,Young Nadia
nm11253362,Zoe
nm3979748,Security Guard
nm0001218,Gunpowder
nm6757431,Chelsea
nm3164080,Heckler
nm10472416,Young Starlight
nm6125416,Young Grace
nm1837990,Mindstorm
nm4124639,Swatto
nm0095746,Tessa
nm1072959,Young Gunpowder
nm4197984,Young Stan Edgar
nm11283975,Claudio
nm8323958,Young Black Noir
nm12051167,Desean
nm13134361,Khamari
nm4877630,Arana
nm1505364,Dana Whitmyre
nm4758544,Reporter
nm0917060,Blue Hawk
nm3117780,Yevgenny
nm2316016,Little Nina
nm5824806,Vought Waiter
nm1047968,MM's Dad
nm12083304,Young Marvin
nm0244432,MM's Grandpa
nm11884404,AAW Leader
nm8346956,Makeup Artist
nm9137651,Moe
nm0312334,Oligarch
nm8530399,Woman
nm8293944,Scientist
nm1178525,Board Member
nm0533884,Bill Marsh
nm0531734,Pat Willis
nm1335292,Barbara
nm0243678,VNN News Anchor
nm0001663,The Legend
nm3615514,Doctor
nm9692502,Woman from accounting
nm0668702,U.S.S.R. Officer
nm1660027,Tommy
nm6021290,Hailey Miller
nm7718443,Love Sausage
nm5756305,Male Supe
nm1082823,Buster Beaver
nm5531364,Butcher's Mother
nm10814744,Young Butcher
nm11689578,Young Lenny
nm1895271,Sam
nm1705467,Headmaster
nm0042336,Priest
nm1971004,Nun
nm7636245,Lamar Bishop
nm0217221,Two Birds
nm8133624,Teen Butcher
nm8493111,Starlighter
nm7624031,Hometeamer
nm0498083,Doctor
nm6364830,Stormchaser
nm5045671,Guy
