nconst,screentime,season,episode,cum_episode
nm8488639,123.0,1,1,1
nm4240263,122.0,1,1,1
nm1069800,510.0,1,1,1
nm0651456,55.0,1,1,1
nm1102278,253.0,1,1,1
nm6970024,244.0,1,1,1
nm4425051,2124.0,1,1,1
nm0609150,495.0,1,1,1
nm3678876,184.0,1,1,1
nm1900772,599.0,1,1,1
nm3929195,1280.0,1,1,1
nm0670408,276.0,1,1,1
nm0000223,508.0,1,1,1
nm2281371,607.0,1,1,1
nm3901596,380.0,1,1,1
nm0193639,569.0,1,1,1
nm2003700,465.0,1,1,1
nm1307435,588.0,1,1,1
nm1756121,139.0,1,1,1
nm4981734,20.0,1,1,1
nm0266422,28.0,1,1,1
nm0881631,1207.0,1,1,1
nm4666051,129.0,1,1,1
nm2130844,89.0,1,1,1
nm6288116,86.0,1,1,1
nm0072648,82.0,1,1,1
nm7068138,43.0,1,1,1
nm0637992,222.0,1,1,1
nm4007618,292.0,1,1,1
nm5092703,64.0,1,1,1
nm7343952,0.0,1,1,1
nm6150071,0.0,1,1,1
nm0265994,0.0,1,1,1
nm5102131,0.0,1,1,1
nm0948580,0.0,1,1,1
nm0877304,0.0,1,1,1
nm2002239,0.0,1,1,1
nm5973363,0.0,1,1,1
nm9339903,0.0,1,1,1
nm6844613,0.0,1,1,1
nm4415642,0.0,1,1,1
nm0261170,0.0,1,1,1
nm0028625,0.0,1,1,1
nm3398072,0.0,1,1,1
nm10104439,0.0,1,1,1
nm4538459,0.0,1,1,1
nm5044034,0.0,1,1,1
nm1854087,0.0,1,1,1
nm0057217,0.0,1,1,1
nm2671505,0.0,1,1,1
nm0998489,0.0,1,1,1
nm0022306,0.0,1,1,1
nm7928115,0.0,1,1,1
nm9656790,0.0,1,1,1
nm0020329,0.0,1,1,1
nm2063213,0.0,1,1,1
nm6325955,0.0,1,1,1
nm1395410,0.0,1,1,1
nm1828818,0.0,1,1,1
nm1219099,0.0,1,1,1
nm6736759,0.0,1,1,1
nm7325131,0.0,1,1,1
nm7836038,0.0,1,1,1
nm1416900,0.0,1,1,1
nm0007664,0.0,1,1,1
nm7232332,0.0,1,1,1
nm0005120,0.0,1,1,1
nm0035334,0.0,1,1,1
nm9481962,0.0,1,1,1
nm2631436,0.0,1,1,1
nm9125441,0.0,1,1,1
nm0677310,0.0,1,1,1
nm7811049,0.0,1,1,1
nm3823884,0.0,1,1,1
nm5784413,0.0,1,1,1
nm6575546,0.0,1,1,1
nm1569513,0.0,1,1,1
nm4468899,0.0,1,1,1
nm7747190,0.0,1,1,1
nm1845550,0.0,1,1,1
nm7609013,0.0,1,1,1
nm6922083,0.0,1,1,1
nm1868511,0.0,1,1,1
nm8968714,0.0,1,1,1
nm10858730,0.0,1,1,1
nm9684220,0.0,1,1,1
nm0369241,0.0,1,1,1
nm2694584,0.0,1,1,1
nm0000708,0.0,1,1,1
nm3194791,0.0,1,1,1
nm1997152,0.0,1,1,1
nm2970187,0.0,1,1,1
nm10858875,0.0,1,1,1
nm0865626,0.0,1,1,1
nm2366996,0.0,1,1,1
nm6932113,0.0,1,1,1
nm9139453,0.0,1,1,1
nm4455452,0.0,1,1,1
nm2599365,0.0,1,1,1
nm0451039,0.0,1,1,1
nm0736622,0.0,1,1,1
nm10492805,0.0,1,1,1
nm0005286,0.0,1,1,1
nm0005346,0.0,1,1,1
nm10858865,0.0,1,1,1
nm4763657,0.0,1,1,1
nm9162660,0.0,1,1,1
nm6914631,0.0,1,1,1
nm0715250,0.0,1,1,1
nm0231283,0.0,1,1,1
nm10858866,0.0,1,1,1
nm10113394,0.0,1,1,1
nm8632185,0.0,1,1,1
nm2854706,0.0,1,1,1
nm0067289,0.0,1,1,1
nm7596733,0.0,1,1,1
nm9351811,0.0,1,1,1
nm3784038,0.0,1,1,1
nm0732309,0.0,1,1,1
nm2649618,0.0,1,1,1
nm3127378,0.0,1,1,1
nm10858907,0.0,1,1,1
nm0064769,0.0,1,1,1
nm0177684,0.0,1,1,1
nm7486145,0.0,1,1,1
nm8968713,0.0,1,1,1
nm0002064,0.0,1,1,1
nm7426827,0.0,1,1,1
nm10859043,0.0,1,1,1
nm4877882,0.0,1,1,1
nm10800302,0.0,1,1,1
nm10503336,0.0,1,1,1
nm11831982,0.0,1,1,1
