,First_character,Second_character,Shared_time
0,Billy Butcher,Hughie Campbell,1043.0
2,Mother’s Milk,Hughie Campbell,832.0
4,Billy Butcher,Mother’s Milk,811.0
6,Mother’s Milk,Frenchie,792.0
8,Frenchie,The Female,735.0
10,Frenchie,Hughie Campbell,711.0
12,Hughie Campbell,Starlight,696.0
14,Frenchie,Billy Butcher,654.0
16,Mother’s Milk,The Female,566.0
18,The Female,Hughie Campbell,415.0
20,The Female,Billy Butcher,361.0
22,Starlight,Mother’s Milk,333.0
24,Homelander,Starlight,329.0
26,Homelander,Queen Maeve,291.0
28,Ashley Barrett,Homelander,261.0
30,Stormfront,Homelander,253.0
32,Starlight,Ashley Barrett,251.0
34,Billy Butcher,Starlight,242.0
36,Queen Maeve,Starlight,230.0
38,Homelander,Billy Butcher,229.0
40,Homelander,Madelyn Stillwell,208.0
42,Frenchie,Starlight,201.0
44,Homelander,Ryan,191.0
46,Hughie Campbell,A-Train,184.0
48,Starlight,A-Train,184.0
50,Homelander,Hughie Campbell,183.0
52,Starlight,The Female,173.0
54,Stormfront,Starlight,152.0
56,Billy Butcher,Grace Mallory,146.0
58,Ashley Barrett,A-Train,144.0
60,Becca Butcher,Billy Butcher,144.0
62,Homelander,A-Train,139.0
64,Homelander,Black Noir,138.0
66,Homelander,Becca Butcher,136.0
68,Billy Butcher,Ryan,135.0
70,Starlight,Donna January,134.0
72,Homelander,The Deep,133.0
74,Ryan,Becca Butcher,128.0
76,Starlight,Black Noir,124.0
78,Soldier Boy,Billy Butcher,124.0
80,A-Train,Frenchie,124.0
82,Black Noir,Queen Maeve,124.0
84,Mother’s Milk,A-Train,119.0
86,Billy Butcher,A-Train,118.0
88,Starlight,The Deep,118.0
90,Queen Maeve,Ashley Barrett,110.0
92,Hughie Campbell,Queen Maeve,108.0
94,Popclaw,Billy Butcher,107.0
96,Popclaw,Frenchie,106.0
98,Popclaw,Mother’s Milk,105.0
100,Hughie Campbell,Popclaw,105.0
102,Stan Edgar,Homelander,102.0
104,A-Train,Nathan,101.0
106,Queen Maeve,Billy Butcher,101.0
108,Frenchie,Homelander,98.0
110,Grace Mallory,Mother’s Milk,97.0
112,Cherie,Frenchie,95.0
114,A-Train,Queen Maeve,94.0
116,The Female,Kenji Miyashiro,94.0
117,Soldier Boy,Hughie Campbell,94.0
120,Black Noir,A-Train,92.0
122,Popclaw,A-Train,91.0
124,Ashley Barrett,Stormfront,91.0
126,The Deep,Ashley Barrett,90.0
128,Queen Maeve,Stormfront,88.0
130,Grace Mallory,Hughie Campbell,88.0
132,Nurse,Mother’s Milk,87.0
134,Ashley Barrett,Hughie Campbell,84.0
136,A-Train,The Deep,83.0
138,Mother’s Milk,Homelander,83.0
140,Starlight,Supersonic,83.0
142,Ryan,Stormfront,82.0
144,Nurse,Frenchie,81.0
146,Billy Butcher,Translucent,81.0
148,Black Noir,Ashley Barrett,78.0
150,Translucent,Hughie Campbell,76.0
152,Hughie Campbell,Black Noir,76.0
154,Nurse,The Female,74.0
156,The Deep,Cassandra,73.0
158,Hughie Campbell,Shockwave,73.0
160,Ashley Barrett,Madelyn Stillwell,72.0
